id,title,year,rating,rating_category,processed_text,title_length
1041054,Freddy,2022,7,Bad,freddy,6
48391,Body,2003,4.5,Neutral,body,4
799713,Dasvi,2022,5.5,Neutral,dasvi,5
946025,Kathal,2023,6.1,Neutral,kathal,6
911645,Gehraiyaan,2022,6,Neutral,gehraiyaan,10
666390,Bunty Aur Babli 2,2021,6.8,Neutral,bunty aur babli,17
58302,Dus,2005,5.3,Neutral,dus,3
443624,Journey Bombay to Goa,2007,5.3,Neutral,journey bombay goa,21
679018,Jersey,2022,7,Bad,jersey,6
817876,Motu Patlu: Kung Fu Kings,2014,7.5,Good,motu patlu kung fu king,25
392222,1920 London,2016,4.2,Bad,london,11
166013,Sirf Tum,1999,5.8,Neutral,sirf tum,8
712863,Dhaakad,2022,4.6,Neutral,dhaakad,7
897097,Cobalt Blue,2022,6.4,Neutral,cobalt blue,11
755045,Cirkus,2022,4.2,Bad,cirkus,6
1014214,Singham Again,2024,6.862194934,Bad,singham,13
1216735,Angry Young Man,2023,5.622835142,Bad,angry young man,15
1216709,Dry Day,2023,6.143613851,Bad,dry day,7
1174363,Mankhurd,2023,5.312385899,Bad,mankhurd,8
143844,Dostana,1980,5.9,Neutral,dostana,7
157800,Har Dil Jo Pyar Karega,2000,5.6,Neutral,har dil jo pyar karega,22
824744,Shiddat,2021,7.8,Good,shiddat,7
814430,The Relationship Manager,2020,8,Good,relationship manager,24
784651,Fighter,2024,5.370139468,Bad,fighter,7
734819,London Confidential,2020,4.5,Neutral,london confidential,19
146270,Vaastav,1999,7.3,Good,vaastav,7
658075,Hungama 2,2021,5.4,Neutral,hungama,9
569494,Fraud Saiyyan,2019,4.2,Bad,fraud saiyyan,13
492181,1921,2018,5.7,Neutral,,4
1177634,Tumse Na Ho Payega,2023,7.7,Good,tumse na ho payega,18
847732,U-Turn,2023,5.1,Neutral,,6
170991,Maya Memsaab,1993,5.4,Neutral,maya memsaab,12
37951,Raajneeti,2010,6.3,Neutral,raajneeti,9
817866,Goodbye,2022,8,Good,goodbye,7
828901,Love Hostel,2022,4.9,Neutral,love hostel,11
1163258,12th Fail,2023,6.7,Neutral,fail,9
1009432,Uunchai,2022,6,Neutral,uunchai,7
18673,8 x 10 Tasveer,2009,5.2,Neutral,x tasveer,14
946652,Kaun Pravin Tambe?,2022,7.4,Good,kaun pravin tambe,18
404579,Akira,2016,5.7,Neutral,akira,5
462405,Zakir Khan: Haq Se Single,2017,8.1,Good,zakir khan haq se single,25
75253,Aa ab Laut Chalen,1999,5.5,Neutral,aa ab laut chalen,17
1158378,Ghoomer,2023,8.5,Good,ghoomer,7
919031,Tiku Weds Sheru,2023,6.8,Neutral,tiku wed sheru,15
41107,Lamhaa,2010,6.7,Neutral,lamhaa,6
545071,99 Songs,2021,5,Neutral,song,8
68758,Haunted-3D,2011,6.1,Neutral,,10
69774,Bbuddah Hoga Terra Baap,2011,4.9,Neutral,bbuddah hoga terra baap,23
862701,Ankahi Kahaniya,2021,6.5,Neutral,ankahi kahaniya,15
15464,EMI,2008,7,Bad,emi,3
127498,Raaz 3,2012,5.3,Neutral,raaz,6
19980,99,2009,6.6,Neutral,,2
20931,Taxi No. 9211,2006,6.3,Neutral,taxi,13
643438,Motichoor Chaknachoor,2020,6.1,Neutral,motichoor chaknachoor,21
160242,Ram Jaane,1995,5.1,Neutral,ram jaane,9
695973,Satyameva Jayate 2,2021,5.4,Neutral,satyameva jayate,18
158519,1920: Evil Returns,2012,5.6,Neutral,evil return,18
44519,Mughal-e-Azam,1960,7.1,Good,,13
1123960,Sirf Ek Bandaa Kaafi Hai,2023,7,Bad,sirf ek bandaa kaafi hai,24
969797,Maja Ma,2022,6,Neutral,maja,7
926130,Selfiee,2023,5.7,Neutral,selfiee,7
53590,Alag,2006,4.4,Bad,alag,4
864573,Kuttey,2023,5.8,Neutral,kuttey,6
1018220,Plan A Plan B,2022,6.2,Neutral,plan plan b,13
781809,Mumbaikar,2023,4,Bad,mumbaikar,9
976827,Dhak Dhak,2023,6,Neutral,dhak dhak,9
330431,NH10,2015,6.8,Neutral,,4
956757,Cuttputlli,2022,5.7,Neutral,cuttputlli,10
1149268,Trial Period,2023,5.5,Neutral,trial period,12
764928,Rashtra Kavach Om,2022,5.7,Neutral,rashtra kavach om,17
44549,Peepli Live,2010,7.2,Good,peepli live,11
755836,Chandigarh Kare Aashiqui,2021,6.1,Neutral,chandigarh kare aashiqui,24
272565,Mrityudand,1997,5.6,Neutral,mrityudand,10
60397,Pyaar To Hona Hi Tha,1998,6.1,Neutral,pyaar hona hi tha,20
1005581,Dhokha: Round D Corner,2022,5.2,Neutral,dhokha round corner,22
769603,Shameless,2019,10,Good,shameless,9
1052873,Three of Us,2023,5.494864347,Bad,three u,11
765019,JugJugg Jeeyo,2022,5.7,Neutral,jugjugg jeeyo,13
15532,Ek Vivaah Aisa Bhi,2008,6.8,Neutral,ek vivaah aisa bhi,18
845861,State of Siege: Temple Attack,2021,5.3,Neutral,state siege temple attack,29
406042,Happy Bhag Jayegi,2016,6.2,Neutral,happy bhag jayegi,17
858288,200: Halla Ho,2021,8.5,Good,halla ho,13
30537,Aur Pyaar Ho Gaya,1997,6,Neutral,aur pyaar ho gaya,17
320873,Dhanak,2015,7.3,Good,dhanak,6
796207,Dobaaraa,2022,5.5,Neutral,dobaaraa,8
890116,Merry Christmas,2024,5.950221702,Bad,merry christmas,15
855485,Jungle Cry,2022,8.3,Good,jungle cry,10
59267,Jaan-E-Mann,2006,5.5,Neutral,,11
496323,Mogul: The Gulshan Kumar Story,,10,Good,mogul gulshan kumar story,30
945337,Sukhee,2023,3.7,Bad,sukhee,6
920679,Zara Hatke Zara Bachke,2023,6.5,Neutral,zara hatke zara bachke,22
413891,Anand Ashram,1977,5.695273785,Bad,anand ashram,12
311571,I Proud to Be an Indian,2004,4,Bad,proud indian,23
674531,Bob Biswas,2021,6.8,Neutral,bob biswas,10
161236,Jab Pyaar Kisise Hota Hai,1998,6,Neutral,jab pyaar kisise hota hai,25
143975,Satyam Shivam Sundaram,1978,7,Bad,satyam shivam sundaram,22
308285,Prem Granth,1996,6.7,Neutral,prem granth,11
461707,Haseena Parkar,2017,5.3,Neutral,haseena parkar,14
137439,Dil Hai Ke Manta Nahin,1991,7.2,Good,dil hai ke manta nahin,22
35063,Just Married,2007,6.2,Neutral,married,12
465651,Fanney Khan,2018,5.4,Neutral,fanney khan,11
875188,Kho Gaye Hum Kahan,2023,5.347729301,Bad,kho gaye hum kahan,18
20976,Mission Istaanbul,2008,3.3,Bad,mission istaanbul,17
39217,Maine Pyaar Kyun Kiya?,2005,4.5,Neutral,maine pyaar kyun kiya,22
883125,Chup,2022,6.5,Neutral,chup,4
1214123,Zakir Khan: Mann Pasand,2023,8.5,Good,zakir khan mann pasand,23
204146,The Crossing,1984,6.2,Neutral,crossing,12
73443,Kabhi Kabhie,1976,6.2,Neutral,kabhi kabhie,12
944410,Jalsa,2022,6.4,Neutral,jalsa,5
14478,Alibaba Aur 40 Chor,1979,6.7,Neutral,alibaba aur chor,19
139521,Matru Ki Bijlee Ka Mandola,2013,5.5,Neutral,matru ki bijlee ka mandola,26
19951,1920,2008,5.6,Neutral,,4
445685,Koi Aap Sa,2005,7.3,Good,koi aap sa,10
1014386,Jogi,2022,6.8,Neutral,jogi,4
1049623,Almost Pyaar with DJ Mohabbat,2023,3.3,Bad,almost pyaar dj mohabbat,29
54639,Yamla Pagla Deewana,2011,5.5,Neutral,yamla pagla deewana,19
118809,Jigar,1992,4.2,Bad,jigar,5
171492,Ankur,1974,6.2,Neutral,ankur,5
63683,Luv Ka The End,2011,4.9,Neutral,luv ka end,14
55808,Rakht Charitra 2,2010,6.2,Neutral,rakht charitra,16
1114114,IB 71,2023,6.9,Neutral,ib,5
539470,Brij Mohan Amar Rahe!,2018,5,Neutral,brij mohan amar rahe,21
431582,Line of Descent,2019,5.4,Neutral,line descent,15
624794,Posham Pa,2019,5.8,Neutral,posham pa,9
24604,Main Aurr Mrs Khanna,2009,4.2,Bad,main aurr mr khanna,20
974792,Gulmohar,2023,6,Neutral,gulmohar,8
635946,The Booth,2019,6.9,Neutral,booth,9
710667,Climax,2020,2.9,Bad,climax,6
475854,B. A. Pass 2,2017,7,Bad,pas,12
964845,Tarla,2023,5.8,Neutral,tarla,5
549829,Loveyatri,2018,5,Neutral,loveyatri,9
915776,Double XL,2022,5.2,Neutral,double xl,9
232696,Joru ka Ghulam,2000,6.3,Neutral,joru ka ghulam,14
512180,Yamla Pagla Deewana: Phir Se,2018,4.6,Neutral,yamla pagla deewana phir se,28
1171106,Khichdi 2: Mission Paanthukistan,2023,1,Bad,khichdi mission paanthukistan,32
245015,Jhuk Gaya Aasman,1968,6.469236215,Bad,jhuk gaya aasman,16
333931,Aashik Aawara,1993,5.1,Neutral,aashik aawara,13
1201303,India Fashion Factory,2023,6.007433227,Bad,india fashion factory,21
604198,Bad Boy,2023,5.670634322,Bad,bad boy,7
640076,Made In China,2019,5.6,Neutral,made china,13
73237,3 Deewarein,2003,7.3,Good,deewarein,11
374639,Cheetah,1994,7,Bad,cheetah,7
590397,Bhuj: The Pride of India,2021,6.2,Neutral,bhuj pride india,24
1063633,Haddi,2023,6.3,Neutral,haddi,5
941596,Thar,2022,6.2,Neutral,thar,4
926085,36 Farmhouse,2022,7,Bad,farmhouse,12
718156,Unlock,2020,7.5,Good,unlock,6
598859,Kaamyaab,2020,6.3,Neutral,kaamyaab,8
82945,Mummy Punjabi,2011,6,Neutral,mummy punjabi,13
66702,Dil Ne Jise Apna Kahaa,2004,5.3,Neutral,dil ne jise apna kahaa,22
942411,Mrs.,2023,6.75730301,Bad,mr,4
1169516,Welcome to the Jungle,2024,5.605582546,Bad,welcome jungle,21
679024,Toofaan,2021,4.9,Neutral,toofaan,7
475250,Omertà,2018,7.7,Good,omertà,6
897515,Chhatriwali,2023,5.4,Neutral,chhatriwali,11
21822,Yeh Mera India,2009,8,Good,yeh mera india,14
84096,Maine Gandhi Ko Nahin Mara,2005,7,Bad,maine gandhi ko nahin mara,26
870387,Sharmaji Namkeen,2022,6.8,Neutral,sharmaji namkeen,16
471892,Shubh Mangal Saavdhan,2017,6.5,Neutral,shubh mangal saavdhan,21
804005,Silence... Can You Hear It?,2021,6.2,Neutral,silence hear,27
856193,Hello Doctor,2020,6.557807121,Bad,hello doctor,12
433718,Fun2shh... Dudes in the 10th Century,2003,3.5,Bad,dude century,36
774806,Toolsidas Junior,2022,7.5,Good,toolsidas junior,16
213187,Naukar Biwi Ka,1983,5.859588635,Bad,naukar biwi ka,14
496318,Krrish 4,,6.141187086,Bad,krrish,8
393255,Mahaanta,1997,8,Good,mahaanta,8
134841,Makdee,2002,6.7,Neutral,makdee,6
1187054,Sajini Shinde Ka Viral Video,2023,2,Bad,sajini shinde ka viral video,28
1185638,Farrey,2023,2,Bad,farrey,6
682838,O Pushpa I Hate Tears,2020,10,Good,pushpa hate tear,21
367714,Aan Baan,1972,5.7609886,Bad,aan baan,8
1205293,Anubhooti... at Metaphysical World,,5.560517553,Bad,anubhooti metaphysical world,34
470641,Mukkabaaz,2018,7.6,Good,mukkabaaz,9
118632,Ghatak,1996,7,Bad,ghatak,6
261421,The Cloud Door,1994,5.1,Neutral,cloud door,14
711643,Chhorii,2021,6.3,Neutral,chhorii,7
292830,Creature 3D,2014,3.5,Bad,creature,11
